rate_est,rate_true,beta_g_est,beta_g_true,noise,trials
0.20906646889871827,-5,0.3065424201739978,-10,0,12
0.08326789588941545,-5,0.024645699696493537,-10,0,120
0.018866562866269435,-5,9.380038715825912e-4,-10,0,1200
0.1911885156863683,-5,0.41753517503647025,-5,0,12
0.069661547108837,-5,0.12234141804990173,-5,0,120
0.02062322042584904,-5,0.021890572358619735,-5,0,1200
0.15414860598912658,-5,0.46697199235615666,-1,0,12
0.03455175831427628,-5,0.4384199630654573,-1,0,120
0.006869137643687506,-5,0.2669016730794728,-1,0,1200
0.1509465269186383,-5,0.5544244698734315,-0.5,0,12
0.027945207770111013,-5,0.5126179868324477,-0.5,0,120
0.008509645614917901,-5,0.4108846601743726,-0.5,0,1200
0.1992852698494551,-5,0.5900242236136821,0,0,12
0.03442314928883061,-5,0.5881822847860718,0,0,120
0.012423100327799644,-5,0.51108420751655,0,0,1200
0.1530823517948923,-5,0.45656028612743765,0.5,0,12
0.03457907095299777,-5,0.40260008438165235,0.5,0,120
0.008801958152952158,-5,0.6349562373624862,0.5,0,1200
0.17607662595039605,-5,0.3706397420217238,1,0,12
0.04062619540128535,-5,0.5842534647979247,1,0,120
0.008182489230862046,-5,0.7403251703307895,1,0,1200
0.1542826680828599,-5,0.4713453468360594,5,0,12
0.060577891969209485,-5,0.896795628830266,5,0,120
0.017803649330948655,-5,0.9795313016509033,5,0,1200
0.24856428768719255,-5,0.7628958583617165,10,0,12
0.08185353678814454,-5,0.9770735543685499,10,0,120
0.018007496025423723,-5,0.9990645578250942,10,0,1200
0.16411657036322802,-3,0.4104435620382738,-10,0,12
0.09791313633389305,-3,0.027773186496192696,-10,0,120
0.056368433837251604,-3,0.0022427944176205,-10,0,1200
0.20377145380982933,-3,0.3272873815584854,-5,0,12
0.10650803827947754,-3,0.032403660193246864,-5,0,120
0.058606687490611466,-3,0.009107440120597457,-5,0,1200
0.1932809425339001,-3,0.3709095868519732,-1,0,12
0.09151392511576252,-3,0.45193161882691213,-1,0,120
0.03869861714673385,-3,0.239693955142591,-1,0,1200
0.15343458886505112,-3,0.43536200157299826,-0.5,0,12
0.0837720913833559,-3,0.5303808940707342,-0.5,0,120
0.045184313167293294,-3,0.3533051850872145,-0.5,0,1200
0.20548467036301102,-3,0.5888750003201838,0,0,12
0.06262593184941288,-3,0.4671900131702139,0,0,120
0.04694105719549119,-3,0.4661937396245209,0,0,1200
0.29297358167042387,-3,0.6213871300172567,0.5,0,12
0.060749202332660686,-3,0.5756859432740248,0.5,0,120
0.05675029812615177,-3,0.5489971378056485,0.5,0,1200
0.15238793536563336,-3,0.44137269369355975,1,0,12
0.07203248198926124,-3,0.7143790986520423,1,0,120
0.052082363873915044,-3,0.6970183022444731,1,0,1200
0.20966539706591794,-3,0.6862595259851195,5,0,12
0.12322057487457384,-3,0.953716489771466,5,0,120
0.061054102845518085,-3,0.9899233321128377,5,0,1200
0.18083733870273422,-3,0.6600350150236358,10,0,12
0.08656539105002575,-3,0.9723018322620464,10,0,120
0.07043073340744206,-3,0.9971081548493398,10,0,1200
0.3183442686716059,-1,0.39575968485375207,-10,0,12
0.2817183496530051,-1,0.057324412841033665,-10,0,120
0.2813853551252045,-1,0.010112024033295343,-10,0,1200
0.43142044460629553,-1,0.34736447824233896,-5,0,12
0.2593385756625472,-1,0.061655751278217645,-5,0,120
0.26763194744686397,-1,0.015121255456169658,-5,0,1200
0.3828990853415567,-1,0.5679283319767219,-1,0,12
0.2537129920649115,-1,0.2389894747792247,-1,0,120
0.2937902552017549,-1,0.31531462774492386,-1,0,1200
0.2006960503844816,-1,0.4543825051431403,-0.5,0,12
0.21642594214018618,-1,0.4911619257914848,-0.5,0,120
0.26766477546871364,-1,0.4191049417306334,-0.5,0,1200
0.19951746720180466,-1,0.5005206510640734,0,0,12
0.26208314313372344,-1,0.5483939584806881,0,0,120
0.28147248090061056,-1,0.5342862604526437,0,0,1200
0.37327816541891606,-1,0.5108081140875,0.5,0,12
0.2881669672635862,-1,0.6004617920733362,0.5,0,120
0.2742449865581014,-1,0.6528904208081112,0.5,0,1200
0.3388163026897406,-1,0.5825327899679906,1,0,12
0.3129530395831908,-1,0.696300482100909,1,0,120
0.27275192002133225,-1,0.7606186211929268,1,0,1200
0.35640225497412786,-1,0.6843851359881272,5,0,12
0.24215404450221537,-1,0.9535327815875037,5,0,120
0.2907540981122379,-1,0.9879676798768334,5,0,1200
0.31611575269527786,-1,0.6545341940348757,10,0,12
0.25394008224412057,-1,0.9360761604126344,10,0,120
0.26180956240783376,-1,0.9903125239567937,10,0,1200
0.3531351509408158,-0.5,0.327010160644379,-10,0,12
0.40198028089052745,-0.5,0.070952072802799,-10,0,120
0.4034526447318878,-0.5,0.012362120224468556,-10,0,1200
0.5677340563753489,-0.5,0.5014441320344687,-5,0,12
0.36303578699900907,-0.5,0.0980143299830385,-5,0,120
0.4190350355796817,-0.5,0.017413593831622092,-5,0,1200
0.38132504642739873,-0.5,0.48516456596507473,-1,0,12
0.3852286212433999,-0.5,0.16584104133613148,-1,0,120
